	x	y
712ZimOdzi	32.26	-18.87
713ZimGweru	30.19	-19.35
715ZimNyazura	32.16	-18.73
716OugKabale	30.14	-1.14
717OugKabale	30.14	-1.14
718OugKabale	30.14	-1.14
719OugFortPortal	30.25	0.63
720OugFortPortal	30.25	0.63
721OugFortPortal	30.25	0.63
722RwButare	29.73	-2.66
723RwButare	29.73	-2.66
725OugKabale	30.14	-1.14
726OugKabale	30.14	-1.14
727OugKabale	30.14	-1.14
728OugKabale	30.14	-1.14
729OugKabale	30.14	-1.14
731OugFortPortal	30.25	0.63
732OugFortPortal	30.25	0.63
735OugFortPortal	30.25	0.63
736OugFortPortal	30.25	0.63
738RwButare	29.73	-2.66
741RwButare	29.73	-2.66
743RwButare	29.73	-2.66
746BurkFarakoba	-4.58	10.81
747BurkFarakoba	-4.58	10.81
748BurkFarakoba	-4.58	10.81
749BurkFarakoba	-4.58	10.81
750BurkFarakoba	-4.58	10.81
751BurkFarakoba	-4.58	10.81
752BurkFarakoba	-4.58	10.81
753BurkFarakoba	-4.58	10.81
754BurkFarakoba	-4.58	10.81
756BeSave	2.65	8.25
757BeSave	2.65	8.25
758BeSave	2.65	8.25
759BeSave	2.65	8.25
760BeSave	2.65	8.25
761BeSave	2.65	8.25
762BeSave	2.65	8.25
763BeSave	2.65	8.25
764BeSave	2.65	8.25
765BurkFarakoba	-4.58	10.81
775TanzSoni	38.34	-4.86
776TanzMakambako	34.33	-8.85
777TanzMakambako	34.33	-8.85
778ZimOdzi	32.26	-18.87
779ZimOdzi	32.26	-18.87
780ZimGweru	30.19	-19.35
781MozSussunDenga	33.27	-19.50
782MozSussunDenga	33.27	-19.50
784MalBlantyre	34.95	-15.92
793KMachakos1	37.11	-1.52
794KMachakos1	37.11	-1.52
795KMachakos1	37.11	-1.52
796KIsiolo	37.56	0.33
797KIsiolo	37.56	0.33
798KIsiolo	37.56	0.33
801KSiaya	34.32	0.13
802KSiaya	34.32	0.13
803KSiaya	34.32	0.13
1051AfSCarltonville	27.37	-26.33
1052AfSCedara	30.33	-29.62
1053AfSCedara	30.33	-29.62
1054AfSPietersburg	29.75	-23.87
1055AfSMutarevillage	30.80	-22.58
1092AfSCarltonville	27.37	-26.33
1093AfSCedara	30.33	-29.62
1094AfSCedara	30.33	-29.62
1095AfSPietersburg	29.75	-23.87
1096AfSMutarevillage	30.80	-22.58
1097BeTanguieta	1.30	10.67
1104BeNikki	3.18	9.94
1109BeRBoukounbe	1.35	10.31
1110BeNikki	3.18	9.94
1111BeTchaourou	2.56	9.09
1112BeNikki	3.18	9.94
1113BeNikki	3.18	9.94
1114BeBirni	1.55	9.95
1115BeNikki	3.18	9.94
1117BeTanguieta	1.30	10.67
1118BeTanguieta	1.30	10.67
1119BeRBoukounbe	1.35	10.31
1120BeRBoukounbe	1.35	10.31
1132GhaSagyimasse	-0.52	6.24
1133GhaSagyimasse	-0.52	6.24
1134GhaSagyimasse	-0.52	6.24
1136GhaSagyimasse	-0.52	6.24
1142BeAttogon	2.17	6.70
1143BeAttogon	2.17	6.70
1144BeAttogon	2.17	6.70
1145BeAttogon	2.17	6.70
1146BeAttogon	2.17	6.70
1151BeAttogon	2.17	6.70
1152BeAttogon	2.17	6.70
1153BeAttogon	2.17	6.70
1154GhaAbettifi	-0.88	6.81
1156BeKetou	2.47	6.78
1157BeKetou	2.47	6.78
1158BeDjougou	1.62	9.69
1159BeDjougou	1.62	9.69
1160BeDjougou	1.62	9.69
1161BeDjougou	1.62	9.69
1162BeDjougou	1.62	9.69
1163BeDjougou	1.62	9.69
1165BeRBoukounbe	1.35	10.31
1167BeRBoukounbe	1.35	10.31
1169BeRBoukounbe	1.35	10.31
1170BeRBoukounbe	1.35	10.31
1171BeRBoukounbe	1.35	10.31
1173BeToukountouna	1.35	10.31
1174BeToukountouna	1.35	10.31
1175BeToukountouna	1.35	10.31
1176BeToukountouna	1.35	10.31
1177BeToukountouna	1.35	10.31
1209EryMaiAwalde	38.46	16.64
1210EryMaiAwalde	38.46	16.64
1211EryMaiAwalde	38.46	16.64
1212EryMaiAwalde	38.46	16.64
